income,life expectancy,population size,region
1750,57.9,33700000,Asia
11000,77.6,2920000,Europe
13700,77.3,39900000,Africa
46600,82.5,78000,Europe
6230,64,27900000,Africa
20100,77.2,99900,Americas
19100,76.5,43400000,Americas
8180,75.4,2920000,Asia
43800,82.6,23800000,Oceania
44100,81.4,8680000,Europe
16700,71.8,9620000,Asia
21700,73.6,387000,Americas
44500,76.8,1370000,Asia
3130,72.4,161000000,Asia
15400,76.6,284000,Americas
17200,73.3,9490000,Europe
41700,80.9,11300000,Europe
8060,71.9,359000,Americas
1990,63.9,10600000,Africa
7740,73.8,787000,Asia
6530,73,10700000,NA
10900,77.4,3540000,Europe
15400,64.6,2210000,Africa
14700,75.2,206000000,Americas
74600,76.9,418000,NA
17000,75,7180000,Europe
1550,60.3,18100000,Africa
749,60,10200000,Africa
3290,68.3,15500000,Asia
2990,59.7,22800000,Africa
43000,81.7,35900000,Americas
5920,73.4,533000,NA
626,49.7,4550000,Africa
2050,59.2,14000000,Africa
22500,80.1,17800000,Americas
13600,76.3,1400000000,Asia
13000,78,48200000,Americas
1410,67.3,777000,Africa
750,60.9,76200000,Africa
5540,62.6,5000000,NA
14900,80.9,4810000,Americas
3250,59.2,23100000,Africa
20600,77.3,4240000,Europe
20000,78.9,11500000,Americas
30400,80.5,1160000,Asia
30400,78.9,10600000,Europe
45500,80.7,5690000,Europe
3140,66.1,927000,Africa
10100,71.7,73200,Americas
13400,75.5,10500000,Americas
10800,77.9,16100000,Americas
10100,71.9,93800000,Africa
7850,75,6310000,Americas
27200,65.2,1180000,Africa
1240,63.4,4850000,Africa
27300,77.2,1320000,Europe
1530,65.2,99900000,Africa
8760,65.5,892000,Oceania
39000,81.5,5480000,Europe
37800,82.2,64500000,Europe
16800,66,1930000,Africa
1590,67,1980000,Africa
9030,73.7,3950000,Asia
43800,80.8,81700000,Europe
3930,65.4,27600000,Africa
24100,81,11200000,Europe
12700,71.4,107000,Americas
7290,72.5,16300000,Americas
1420,58.2,1770000,Africa
1180,60,12100000,Africa
7060,67,769000,Americas
1650,63.9,10700000,Americas
4310,72.5,8960000,Americas
24800,75.7,9780000,Europe
42700,82.2,330000,Europe
5750,68.2,1310000000,Asia
10400,71.4,258000000,Asia
16000,75.8,79400000,NA
14900,67.6,36100000,Asia
60900,81.1,4700000,Europe
32000,82,8060000,Asia
34200,82.3,59500000,Europe
8110,74.9,2870000,Americas
37800,83.8,128000000,Asia
8490,76.8,9160000,Asia
23500,71.6,17700000,NA
2840,66.3,47200000,Africa
1870,61.6,112000,Oceania
69300,79.8,3940000,Asia
3240,71.1,5870000,Asia
5430,66.8,6660000,NA
23100,74.8,1990000,Europe
13100,80.1,5850000,Asia
2780,49.6,2170000,Africa
785,63.8,4500000,Africa
13500,74.2,6230000,Africa
27000,74.9,2930000,Europe
95300,82,567000,Europe
12800,74.6,2080000,NA
1380,62.3,24200000,Africa
1090,59.4,17600000,Africa
25000,75.4,30700000,Asia
12000,79.3,418000,Asia
1920,61.4,17500000,Africa
34400,81.3,428000,Europe
3670,64.7,53000,Oceania
3600,70,4180000,Africa
18900,74.5,1260000,Africa
16700,76.2,126000000,Americas
3290,65.3,104000,NA
4750,72.1,4070000,NA
11400,68.2,2980000,Asia
15300,76.9,628000,Europe
7290,74.8,34800000,Africa
1120,59,28000000,Africa
5070,69.5,52400000,Asia
9910,64.3,2430000,Africa
2300,69.7,28700000,Asia
46400,81.6,16900000,Europe
34600,81.5,4610000,Oceania
4960,78,6080000,Americas
897,61.2,19900000,Africa
5670,64,181000000,Africa
1390,70.6,25200000,Asia
63700,82.1,5200000,Europe
40100,77.4,4200000,Asia
4700,67.3,189000000,Asia
2650,71.8,4660000,Asia
20700,78.7,3970000,Americas
2750,60.5,7920000,Oceania
8640,74.4,6640000,Americas
11800,79.5,31400000,Americas
6880,70.1,102000000,Asia
25300,77.7,38300000,Europe
26500,80.8,10400000,Europe
120000,80.5,2480000,Asia
20500,75.1,19900000,Europe
24100,70.8,144000000,Europe
1720,67.3,11600000,Africa
5560,71.7,194000,Oceania
2940,70.3,196000,Africa
50700,76.8,31600000,Asia
2300,65.9,15000000,Africa
13300,75.7,8850000,Europe
25500,73.7,93700,Africa
1320,57.6,7240000,Africa
80900,83.6,5540000,Asia
28300,76.8,5440000,Europe
29100,80.7,2070000,Europe
2050,62.8,587000,Oceania
623,57.3,13900000,Africa
12400,61.8,55300000,Africa
34200,80.9,50600000,Asia
1810,58.9,11900000,Africa
32200,82.9,46400000,Europe
11100,77.2,20700000,Asia
10700,76.1,177000,Americas
10500,71.6,109000,Americas
4290,68,38600000,Africa
14800,71.2,553000,Americas
8050,56.4,1320000,NA
45500,82.1,9760000,Europe
56500,83.1,8320000,Europe
3500,68.4,18700000,Asia
2640,71.6,8550000,Asia
2490,63.5,53900000,Africa
15200,77.6,68700000,Asia
2150,72.6,1240000,Asia
1350,62.1,7420000,Africa
5190,70.3,106000,Oceania
31300,73.1,1360000,Americas
10800,77.4,11300000,Africa
23400,79,78300000,Asia
15000,69.9,5570000,NA
1690,61.6,40100000,Africa
7470,71.9,44700000,Europe
66000,76.5,9150000,Asia
38500,80.8,65400000,Europe
52800,78.8,320000000,Americas
19800,77.1,3430000,Americas
5700,70,31000000,Asia
2810,63.6,265000,Oceania
15600,75.5,31200000,Americas
5670,74.3,93600000,NA
2640,67.2,26900000,Asia
3630,58.1,16100000,Africa
1890,58.3,15800000,Africa
